ensembl_id,gene_symbol,entrez_id,refseq_id
ENSG00000000003,TSPAN6,7105,NM_001278740.2
ENSG00000000005,TNMD,64102,NM_022144.3
ENSG00000000419,DPM1,8813,NM_001317034.1
ENSG00000000457,SCYL3,57147,NM_020423.7
ENSG00000000460,C1orf112,55732,NM_001320047.2
ENSG00000000938,FGR,2268,NM_001042729.2
ENSG00000000971,CFH,3075,NM_000186.4
ENSG00000001036,FUCA2,2519,NM_032020.5
ENSG00000001084,GCLC,2729,NM_001197115.2
ENSG00000001167,NFYA,4800,NM_002505.5
ENSG00000001460,STPG1,90529,NM_001199012.2
ENSG00000001461,NIPAL3,57185,NM_001322854.2
ENSG00000001497,LAS1L,81887,NM_001170649.2
ENSG00000001561,ENPP4,22875,NM_014936.5
ENSG00000001617,SEMA3F,6405,NM_001318798.2
ENSG00000001626,CFTR,1080,NM_000492.4
ENSG00000001629,ANKIB1,54467,NM_019004.2
ENSG00000001630,CYP51A1,1595,NM_000786.4
ENSG00000001631,KRIT1,889,NM_001013406.2
ENSG00000002016,RAD52,5893,NM_001297419.1
ENSG00000002079,MYH16,84176,NM_001431356.1
ENSG00000002330,BAD,572,NM_004322.3
ENSG00000002549,LAP3,51056,NM_015907.3
ENSG00000002586,CD99,4267,NM_001122898.3
ENSG00000002587,HS3ST1,9957,NM_005114.4
ENSG00000002726,AOC1,26,NM_001091.4
ENSG00000002745,WNT16,51384,NM_016087.2
ENSG00000002746,HECW1,23072,NM_001287059.2
ENSG00000002822,MAD1L1,8379,NM_001013836.2
ENSG00000002834,LASP1,3927,NM_001271608.2
ENSG00000002919,SNX11,29916,NM_001330320.3
ENSG00000002933,TMEM176A,55365,NM_018487.3
ENSG00000003056,M6PR,4074,NM_001207024.2
ENSG00000003096,KLHL13,90293,NM_001168299.2
ENSG00000003137,CYP26B1,56603,NM_001277742.2
ENSG00000003147,ICA1,3382,NM_001136020.3
ENSG00000003249,DBNDD1,79007,NM_001042610.3
ENSG00000003393,ALS2,57679,NM_001135745.2
ENSG00000003400,CASP10,843,NM_001206524.2
ENSG00000003402,CFLAR,8837,NM_001127183.4
ENSG00000003436,TFPI,7035,NM_001032281.4
ENSG00000003509,NDUFAF7,55471,NM_001083946.2
ENSG00000003756,RBM5,10181,NM_005778.4
ENSG00000003987,MTMR7,9108,NM_004686.5
ENSG00000003989,SLC7A2,6542,NM_001008539.4
ENSG00000004059,ARF5,381,NM_001662.4
ENSG00000004139,SARM1,23098,NM_015077.4
ENSG00000004142,POLDIP2,26073,NM_001290145.2
ENSG00000004399,PLXND1,23129,NM_015103.3
ENSG00000004455,AK2,204,NM_001199199.3
ENSG00000004468,CD38,952,NM_001775.4
ENSG00000004478,FKBP4,2288,NM_002014.4
ENSG00000004487,KDM1A,23028,NM_001009999.3
ENSG00000004534,RBM6,10180,NM_001167582.2
ENSG00000004660,CAMKK1,84254,NM_032294.3
ENSG00000004700,RECQL,5965,NM_002907.4
ENSG00000004766,CCDC132,55610,NM_001257998.2
ENSG00000004776,HSPB6,126393,NM_144617.3
ENSG00000004777,ARHGAP33,115703,NM_001172630.2
ENSG00000004779,NDUFAB1,4706,NM_005003.3
ENSG00000004799,PDK4,5166,NM_002612.4
ENSG00000004809,SLC22A16,85413,NM_033125.4
ENSG00000004838,ZMYND10,51364,NM_001308379.2
ENSG00000004846,ABCB5,340273,NM_001163941.2
ENSG00000004848,ARX,170302,NM_139058.3
ENSG00000004864,SLC25A13,10165,NM_001160210.2
ENSG00000004866,ST7,7982,NM_001369598.1
ENSG00000004897,CDC27,996,NM_001114091.4
ENSG00000004939,SLC4A1,6521,NM_000342.4
ENSG00000004948,CALCR,799,NM_001164737.3
ENSG00000004961,HCCS,3052,NM_001122608.3
ENSG00000004975,DVL2,1856,NM_004422.3
ENSG00000005001,PRSS22,64063,NM_022119.4
ENSG00000005007,UPF1,5976,NM_001297549.2
ENSG00000005020,SKAP2,8935,NM_001303468.2
ENSG00000005022,SLC25A5,292,NM_001152.5
ENSG00000005059,MCUB,55013,NM_017918.5
ENSG00000005073,HOXA11,3207,NM_005523.6
ENSG00000005075,POLR2J,5439,NM_001371100.1
ENSG00000005100,DHX33,56919,NM_001199699.2
ENSG00000005102,MEOX1,4222,NM_001040002.2
ENSG00000005108,THSD7A,221981,NM_015204.3
ENSG00000005156,LIG3,3980,NM_002311.5
ENSG00000005175,RPAP3,79657,NM_001146075.2
ENSG00000005187,ACSM3,6296,NM_005622.4
ENSG00000005189,AC004381.6,81691,NM_001144924.2
ENSG00000005194,CIAPIN1,57019,NM_001308347.2
ENSG00000005206,SPPL2B,56928,NM_001077238.2
ENSG00000005238,FAM214B,80256,NM_001317991.2
ENSG00000005243,COPZ2,51226,NM_016429.4
ENSG00000005249,PRKAR2B,5577,NM_002736.3
